,Src,Dst,Weight,edge_type
7148,16,1038,1,0
7149,246,1167,1,0
7150,245,1167,1,0
7151,271,1168,1,0
7152,272,1169,1,0
7153,273,1169,1,0
7154,274,1169,1,0
7155,275,1170,1,0
7156,275,1171,1,0
7157,245,1172,1,0
7158,245,1173,1,0
7159,276,1173,1,0
7160,245,1174,1,0
7161,276,1174,1,0
7162,245,1175,1,0
7163,276,1175,1,0
7164,277,1176,1,0
7165,246,1177,1,0
7166,247,1177,1,0
7173,278,1178,1,0
7174,279,1179,1,0
7175,280,1179,1,0
7176,279,1180,1,0
7177,280,1180,1,0
7178,279,1181,1,0
7179,280,1181,1,0
7180,281,1182,1,0
7181,282,1182,1,0
7182,281,1183,1,0
7183,282,1183,1,0
7184,283,1184,1,0
7185,284,1185,1,0
7186,285,1185,1,0
7187,284,1186,1,0
7188,285,1186,1,0
7189,286,1187,1,0
7190,287,1187,1,0
7191,286,1188,1,0
7192,288,1189,1,0
7193,289,1190,1,0
7194,289,1191,1,0
7195,290,1192,1,0
7196,291,1192,1,0
7197,292,1193,1,0
7198,292,1194,1,0
7199,293,1195,1,0
7200,294,1195,1,0
7201,295,1196,1,0
7202,296,1196,1,0
7203,295,1197,1,0
7204,296,1197,1,0
7205,297,1198,1,0
7206,298,1198,1,0
7207,299,1199,1,0
7208,300,1199,1,0
7209,299,1200,1,0
7210,301,1201,1,0
7211,302,1202,1,0
7212,303,1202,1,0
7213,304,1202,1,0
7214,305,1203,1,0
7215,302,1203,1,0
7216,303,1203,1,0
7217,304,1203,1,0
7218,304,1204,1,0
7219,306,1204,1,0
7220,306,1205,1,0
7221,304,1205,1,0
7222,307,1206,1,0
7223,294,1206,1,0
7225,308,1207,1,0
7226,309,1207,1,0
7227,308,1208,1,0
7228,309,1208,1,0
7229,308,1209,1,0
7230,309,1209,1,0
7231,308,1210,1,0
7232,309,1210,1,0
7233,308,1211,1,0
7234,309,1211,1,0
7235,160,1212,1,0
7237,310,1213,1,0
7238,311,1213,1,0
7239,312,1214,1,0
7240,293,1214,1,0
7241,294,1214,1,0
7242,293,1215,1,0
7243,294,1215,1,0
7244,290,1216,1,0
7245,291,1216,1,0
7246,290,1217,1,0
7247,291,1217,1,0
7248,290,1218,1,0
7249,291,1218,1,0
7250,313,1219,1,0
7251,314,1219,1,0
7252,298,1220,1,0
7253,315,1220,1,0
7254,298,1221,1,0
7255,316,1221,1,0
7256,315,1221,1,0
7257,298,1222,1,0
7258,316,1222,1,0
7403,2,1223,1,0
7428,317,1224,1,0
7430,2,913,1,0
7532,55,1225,1,0
7629,318,1226,1,0
7652,319,994,1,0
7700,2,1227,1,0
7847,320,875,1,0
7855,2,1228,1,0
7894,2,1229,1,0
7985,257,873,1,0
8020,321,875,1,0
8023,247,1167,1,0
8024,247,1184,1,0
8058,10,1230,1,0
8059,10,1231,1,0
8119,64,1232,1,0
8120,64,961,1,0
8132,322,961,1,0
8340,24,1233,1,0
8341,24,1234,1,0
8348,323,1235,1,0
8354,323,920,1,0
8358,323,1236,1,0
8373,324,1237,1,0
8374,325,1237,1,0
8375,326,1237,1,0
8376,327,1237,1,0
8377,328,1237,1,0
8378,329,1237,1,0
8379,330,1237,1,0
8380,331,1237,1,0
8381,332,1237,1,0
8382,333,1237,1,0
8383,334,1237,1,0
8384,335,1237,1,0
8385,336,1237,1,0
8386,337,1237,1,0
8387,338,1237,1,0
8389,324,1238,1,0
8390,325,1238,1,0
8391,326,1238,1,0
8392,327,1238,1,0
8393,328,1238,1,0
8394,329,1238,1,0
8395,330,1238,1,0
8396,331,1238,1,0
8397,332,1238,1,0
8398,333,1238,1,0
8399,334,1238,1,0
8400,335,1238,1,0
8401,336,1238,1,0
8402,337,1238,1,0
8403,338,1238,1,0
8404,324,1239,1,0
8405,325,1239,1,0
8406,326,1239,1,0
8407,327,1239,1,0
8408,328,1239,1,0
8409,329,1239,1,0
8410,330,1239,1,0
8411,331,1239,1,0
8412,332,1239,1,0
8413,333,1239,1,0
8414,334,1239,1,0
8415,335,1239,1,0
8416,336,1239,1,0
8417,337,1239,1,0
8418,338,1239,1,0
8419,324,1240,1,0
8420,325,1240,1,0
8421,326,1240,1,0
8422,327,1240,1,0
8423,328,1240,1,0
8424,329,1240,1,0
8425,330,1240,1,0
8426,331,1240,1,0
8427,332,1240,1,0
8428,333,1240,1,0
8429,334,1240,1,0
8430,335,1240,1,0
8431,336,1240,1,0
8432,337,1240,1,0
8433,338,1240,1,0
8434,324,1241,1,0
8435,325,1241,1,0
8436,326,1241,1,0
8437,327,1241,1,0
8438,328,1241,1,0
8439,329,1241,1,0
8440,330,1241,1,0
8441,331,1241,1,0
8442,332,1241,1,0
8443,333,1241,1,0
8444,334,1241,1,0
8445,335,1241,1,0
8446,336,1241,1,0
8447,337,1241,1,0
8448,338,1241,1,0
8464,22,1242,1,0
8484,339,1020,1,0
8485,339,1023,1,0
8487,105,889,1,0
8527,197,1051,1,0
8528,197,1085,1,0
8529,197,1243,1,0
8530,197,1244,1,0
8531,197,1245,1,0
8593,140,1042,1,0
8595,83,1072,1,0
8596,340,1082,1,0
