,from,to,references
210,CDKN1A,CDK1,HPRD:9467962;IntAct:23543736;IntAct:24218572;Lit-BM-17:17679094;Lit-BM-17:21308745;Lit-BM-17:23602568;Lit-BM-17:24218572;Lit-BM-17:26186194;Lit-BM-17:26496610;ProtMapper:12973835;SIGNOR:15340381;SPIKE:15077146;SPIKE_LC:15077146
211,TP53,PRC1,SPIKE:15531928;SPIKE_LC:15531928
212,TP53,ATF3,HPRD:11792711;Lit-BM-17:11792711;Lit-BM-17:15933712;Lit-BM-17:16169070;SPIKE:18431400;SPIKE_LC:16169070;SPIKE_LC:16713569;SPIKE_LC:18431400
213,ATF3,TP53,HPRD:11792711;Lit-BM-17:11792711;Lit-BM-17:15933712;Lit-BM-17:16169070;SPIKE:15933712;SPIKE_LC:15933712;SPIKE_LC:16169070;SPIKE_LC:16713569
214,ATM,TERF2,DIP:15314656;SPIKE:16223874;SPIKE_LC:16223874;SPIKE_LC:17525332
215,TERF2,ATM,DIP:15314656;SIGNOR:18680434
216,MYCN,MCM6,SPIKE:17826980;SPIKE_LC:17826980
217,MDM2,RRM2B,SPIKE:19015526;SPIKE_LC:19015526
218,ATR,XPA,ACSN:11877377;ACSN:15459660;ACSN:15798197;ACSN:16540648;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:19004803;ACSN:19282663;ACSN:19622404;ACSN:19793801;HPRD:16540648;KEA:16540648;ProtMapper:16540648;ProtMapper:18790090;ProtMapper:20451471;ProtMapper:23178497;ProtMapper:23861882;ProtMapper:24947324;ProtMapper:27247238;ProtMapper:27827925;SIGNOR:16540648;SIGNOR:23178497;SIGNOR:30327428;SPIKE:18594563;SPIKE:19586908;SPIKE_LC:18594563;SPIKE_LC:19586908;iPTMnet:16540648;iPTMnet:23178497;iPTMnet:30327428
219,MYCN,MCM4,SPIKE:17826980;SPIKE_LC:17826980
220,MYCN,MCM5,SPIKE:17826980;SPIKE_LC:17826980
221,MYCN,MCM2,SPIKE:17826980;SPIKE_LC:17826980
222,MYCN,MCM3,SPIKE:17826980;SPIKE_LC:17826980
223,E2F1,CDCA4,ACSN:16984923;SPIKE:16984923;SPIKE_LC:16984923
224,CDCA4,E2F1,SPIKE:16984923;SPIKE_LC:16984923
