,Src,Dst,Weight,edge_type
997,393,5092,1,0
998,394,5204,1,0
999,395,5205,1,0
1000,250,5206,1,0
1001,396,5207,1,0
1002,235,5208,1,0
1003,397,5209,1,0
1004,398,5064,1,0
1005,394,4886,1,0
1006,126,5205,1,0
1007,118,5210,1,0
1008,399,4878,1,0
1009,317,5210,1,0
1010,400,5211,1,0
1011,400,4949,1,0
1012,401,5212,1,0
1015,401,5213,1,0
1016,402,5191,1,0
1018,178,5007,1,0
1019,403,4951,1,0
1020,384,5007,1,0
1021,403,5191,1,0
1022,404,5214,1,0
1023,405,5215,1,0
1024,406,5191,1,0
1025,407,5216,1,0
1026,408,5004,1,0
1027,409,5215,1,0
1028,400,5217,1,0
1029,400,5218,1,0
1030,410,4969,1,0
1031,411,5219,1,0
1032,277,5061,1,0
1033,412,4969,1,0
1035,413,5052,1,0
1036,413,5070,1,0
1037,414,5138,1,0
1038,352,5220,1,0
1039,413,5138,1,0
1043,116,4980,1,0
1044,207,4878,1,0
1046,282,4974,1,0
1048,297,4972,1,0
1049,72,5221,1,0
1050,415,5076,1,0
1051,416,5222,1,0
1052,192,4980,1,0
1053,114,5143,1,0
1055,116,5223,1,0
1056,417,5053,1,0
1059,116,5224,1,0
1060,116,5225,1,0
1063,116,5055,1,0
1065,100,4980,1,0
1067,110,5226,1,0
1068,417,5227,1,0
1070,417,5228,1,0
1072,418,5229,1,0
1073,419,5189,1,0
1075,420,5230,1,0
1076,421,5231,1,0
1081,118,5232,1,0
1082,318,5233,1,0
1083,422,5234,1,0
1085,423,5235,1,0
1086,257,5236,1,0
1087,409,5237,1,0
1088,424,5237,1,0
1089,238,5238,1,0
1090,425,5239,1,0
1091,409,5240,1,0
1092,426,4922,1,0
1093,427,5241,1,0
1096,428,5242,1,0
1097,429,5239,1,0
1098,409,5243,1,0
1099,430,5239,1,0
1101,246,5117,1,0
1102,176,5244,1,0
1104,207,4969,1,0
1105,317,5119,1,0
1106,431,5107,1,0
1107,432,4880,1,0
1108,118,5245,1,0
1110,433,4880,1,0
1111,118,5246,1,0
1114,100,5247,1,0
1116,434,5248,1,0
1118,35,4922,1,0
1119,426,4918,1,0
1120,426,5119,1,0
1121,116,5249,1,0
1122,318,4878,1,0
1123,116,5234,1,0
1124,116,5250,1,0
1125,435,4878,1,0
1126,122,4943,1,0
1129,116,5251,1,0
1131,436,5252,1,0
1132,116,4889,1,0
1133,122,5253,1,0
1134,116,5254,1,0
1135,436,5255,1,0
1136,116,5256,1,0
1138,116,5257,1,0
1140,436,5258,1,0
1142,121,4884,1,0
1143,437,4884,1,0
1144,122,5259,1,0
1145,122,5196,1,0
1146,438,4884,1,0
1147,118,4906,1,0
1149,439,4899,1,0
1150,439,4906,1,0
1151,116,5260,1,0
1152,440,4878,1,0
1153,116,5261,1,0
1154,116,5182,1,0
1155,116,4947,1,0
1156,175,4878,1,0
1157,116,4908,1,0
1158,116,5262,1,0
1159,214,5263,1,0
1160,116,5264,1,0
1163,110,5219,1,0
1164,441,5265,1,0
1165,116,5116,1,0
1166,442,4878,1,0
1167,116,5266,1,0
1168,443,4878,1,0
1171,441,5267,1,0
1172,436,5268,1,0
1175,122,5015,1,0
1176,122,5164,1,0
1177,116,5269,1,0
1179,116,5270,1,0
1180,116,5271,1,0
1182,116,5272,1,0
1183,444,4878,1,0
1188,100,5014,1,0
1189,380,4878,1,0
